100 4784
60 74 25
57 93 17
65 97 9
29 88 16
19 35 30
10 31 27
29 40 7
51 68 19
13 53 19
91 93 17
55 68 24
50 60 22
17 37 30
64 78 8
43 48 26
3 56 21
13 80 24
33 99 21
24 44 6
1 91 4
42 66 29
25 86 5
42 99 20
5 68 20
2 50 5
3 55 6
23 66 22
89 97 26
11 90 23
38 81 13
0 29 21
33 56 2
34 57 17
27 71 9
19 91 26
40 66 1
9 31 25
4 11 25
22 67 14
19 40 5
47 98 7
27 66 14
30 53 17
7 39 19
77 78 17
47 54 8
71 91 14
16 92 11
6 32 5
46 98 2
47 76 2
65 69 12
28 49 24
38 90 24
82 98 26
31 94 21
82 92 15
22 27 27
45 68 6
19 71 16
43 63 23
48 81 4
7 83 28
29 60 21
16 67 9
20 26 2
78 87 17
35 57 6
86 92 25
4 93 23
20 88 20
41 85 17
0 61 13
5 74 13
4 16 16
80 82 11
12 88 5
69 88 7
8 23 14
63 75 5
18 25 2
31 38 20
38 51 15
64 76 4
45 98 7
48 74 4
79 89 29
71 75 17
0 44 7
57 79 4
48 55 2
37 70 27
21 66 25
31 72 6
3 27 5
51 73 18
32 54 20
44 56 4
26 52 17
23 30 13
15 47 22
34 45 13
37 81 5
18 36 26
3 64 13
37 71 11
66 95 8
20 81 5
20 21 27
41 98 22
35 61 16
1 49 5
38 82 20
20 92 4
35 47 6
16 35 26
39 86 6
74 80 4
16 85 22
17 75 4
8 99 28
21 27 4
62 76 15
63 83 19
17 73 3
39 42 4
14 83 20
5 37 5
89 99 30
20 43 22
2 17 27
65 72 30
47 82 20
50 52 29
67 98 12
33 38 21
24 60 22
32 34 13
76 92 30
6 61 25
35 56 2
59 73 2
9 61 7
11 89 21
68 78 24
21 85 10
81 97 3
0 57 28
50 71 10
15 36 14
33 61 27
13 37 27
11 53 24
44 57 23
64 91 30
7 17 6
39 63 9
35 90 26
8 51 3
9 86 7
6 21 15
60 88 26
13 78 18
13 68 8
63 68 17
40 71 13
64 69 25
19 39 19
61 63 2
9 18 23
42 82 18
65 86 6
1 25 11
30 96 28
39 49 23
25 82 23
12 15 17
48 78 10
59 76 17
5 97 14
63 91 22
13 82 16
23 90 11
11 64 3
52 87 10
76 83 7
29 41 27
2 24 5
61 73 26
23 47 10
6 51 12
16 38 6
45 56 21
46 69 16
4 57 21
37 82 10
10 76 21
77 95 14
2 94 12
60 70 10
44 68 17
33 52 4
35 99 14
6 66 23
17 35 20
16 29 27
95 96 23
67 82 20
42 50 4
24 81 8
23 79 16
3 29 15
9 99 2
13 88 16
36 74 14
75 80 5
41 96 10
24 39 23
4 21 4
15 18 26
55 57 29
56 62 30
51 88 18
90 93 28
21 70 19
7 55 21
22 41 17
50 64 10
71 92 18
20 71 4
31 63 16
32 61 30
54 89 7
20 24 17
17 93 29
32 47 30
21 81 1
18 53 10
62 77 15
74 85 18
42 60 14
0 68 29
41 86 22
77 99 9
61 78 23
29 78 17
22 74 15
66 90 27
93 99 13
10 94 6
18 90 8
54 78 10
31 70 15
1 85 27
28 67 12
75 97 21
20 82 4
17 57 20
9 74 11
67 90 2
66 96 13
65 95 26
23 71 14
56 63 24
4 62 17
43 50 30
4 88 16
67 81 17
19 99 29
2 34 17
35 67 2
3 91 7
14 20 28
87 97 28
42 83 28
37 61 10
79 94 24
3 10 10
18 98 6
6 74 25
4 18 1
19 36 23
6 95 18
0 40 21
31 51 6
37 40 26
2 15 4
11 83 19
13 18 7
18 38 5
37 95 10
51 79 10
60 95 16
66 98 12
9 48 29
31 91 21
22 73 19
24 51 19
75 88 10
8 71 6
35 46 27
2 71 10
40 43 3
84 90 15
10 74 30
39 54 21
41 95 3
61 97 7
44 53 4
33 66 14
14 54 12
13 97 16
53 87 3
15 77 20
80 96 26
59 87 2
34 70 13
25 70 21
19 92 24
1 31 2
39 95 11
7 26 21
20 57 22
26 38 20
37 38 7
23 70 12
51 85 26
19 23 5
23 77 5
0 33 9
4 42 30
10 72 8
15 21 11
18 33 28
29 42 17
7 97 13
16 74 28
16 56 2
0 69 21
4 45 1
34 78 23
17 33 20
15 56 7
5 96 11
44 47 23
37 48 11
20 79 5
30 51 24
14 71 10
60 66 11
9 15 12
57 80 21
15 93 11
57 75 30
54 68 16
8 68 10
1 44 29
3 15 11
45 77 15
8 22 2
34 84 21
17 82 6
23 36 15
78 95 24
14 56 30
12 19 6
13 63 7
19 85 28
30 83 5
5 17 18
24 99 27
58 74 30
58 95 23
23 73 24
0 90 5
10 23 11
1 64 28
54 94 11
0 72 28
4 10 21
15 89 6
8 75 27
11 56 29
50 81 10
19 70 20
14 51 7
39 96 24
59 86 21
74 76 26
23 88 22
11 79 8
32 64 25
78 90 25
42 57 18
22 68 21
19 46 25
62 89 20
31 46 15
9 22 11
26 81 2
7 58 7
26 92 19
47 79 5
12 76 8
21 76 21
5 93 23
19 53 27
0 63 29
34 80 27
61 67 25
12 43 25
18 32 26
24 49 22
36 38 13
14 96 8
10 84 17
51 84 14
32 53 1
2 97 26
9 78 5
18 57 15
10 21 11
83 97 10
1 11 27
10 71 14
8 81 29
66 94 7
7 73 19
19 74 24
22 86 29
84 88 13
11 42 23
39 98 9
72 81 12
71 98 2
24 79 29
34 97 2
32 74 12
13 93 27
24 68 3
35 38 8
0 1 14
80 99 9
43 60 25
71 87 10
7 81 24
56 89 18
53 93 7
61 62 15
7 15 2
10 37 22
10 64 16
6 56 28
4 38 2
9 43 14
22 34 25
38 67 3
58 91 5
46 94 15
16 46 26
9 82 5
7 94 18
20 99 11
18 26 30
62 65 10
79 84 12
8 67 16
65 80 28
12 51 4
27 84 21
20 23 6
47 78 1
56 86 16
7 60 23
62 96 17
28 80 23
41 52 24
93 96 8
3 41 16
17 47 15
39 89 11
12 94 3
17 42 15
8 54 28
15 26 8
55 63 26
17 96 24
26 90 2
28 57 14
16 98 4
36 89 25
17 58 4
33 50 27
59 89 11
16 96 3
36 75 9
35 95 25
25 99 25
64 83 5
23 24 15
29 58 11
9 23 30
48 76 1
3 72 27
18 66 28
21 69 16
19 43 12
63 93 2
45 71 14
52 91 24
89 90 18
5 99 8
28 59 6
3 52 18
11 97 13
43 45 16
30 61 11
17 46 27
6 92 7
15 95 15
48 89 21
80 97 11
22 99 1
54 57 18
10 12 23
43 69 7
17 76 23
16 54 17
43 64 28
0 54 19
85 96 8
24 40 26
25 90 16
43 73 7
44 90 10
8 26 2
30 44 26
18 93 6
30 84 24
5 43 8
31 53 22
27 67 21
47 77 30
87 91 7
81 86 10
13 60 4
57 89 12
93 98 30
8 93 30
45 95 15
28 53 26
2 54 27
15 74 17
60 63 16
21 56 7
26 27 16
12 77 29
11 33 6
63 85 11
65 91 15
26 74 14
5 34 19
69 94 8
43 56 10
39 87 3
77 83 13
18 91 16
38 71 30
86 88 8
9 83 3
42 48 11
30 42 16
43 58 21
64 82 24
2 31 12
21 99 30
15 49 1
4 60 6
6 9 11
50 67 8
47 62 18
50 76 23
13 33 29
38 83 14
8 61 20
11 78 25
28 94 21
7 11 19
13 56 26
0 30 14
31 74 6
18 63 9
1 8 13
14 79 13
18 34 26
32 37 26
11 15 5
30 78 29
87 94 28
22 51 15
13 25 12
75 91 11
35 50 8
71 73 2
69 99 17
10 47 4
30 50 3
14 73 6
21 91 13
22 49 17
43 84 20
16 97 25
12 60 23
48 77 12
65 75 23
1 29 3
9 20 30
13 51 24
49 90 7
9 46 3
34 65 1
54 86 30
61 83 22
8 43 16
36 85 29
2 8 6
83 87 19
27 69 7
73 81 4
22 84 6
38 75 25
6 29 22
18 80 10
37 84 24
10 18 9
79 87 18
88 93 15
15 32 21
28 70 12
40 97 1
58 90 24
7 16 1
9 70 8
56 96 2
50 75 9
0 73 2
3 30 9
56 92 11
5 66 25
17 84 16
46 91 15
44 49 30
6 67 5
37 44 12
78 80 13
19 61 1
0 47 18
25 73 12
23 81 25
25 96 17
59 68 26
33 54 15
31 68 8
66 87 29
53 63 15
31 50 27
17 80 9
56 70 21
37 55 13
12 80 14
9 44 16
11 91 4
78 91 13
40 84 5
52 59 9
15 62 9
28 72 9
24 31 13
38 64 13
89 98 23
2 69 19
43 72 22
41 43 19
74 93 25
74 89 25
55 56 13
9 87 10
0 67 26
30 49 15
22 75 1
63 74 11
4 66 27
35 81 14
17 23 26
41 78 4
12 47 23
25 64 6
73 78 3
56 95 19
14 24 23
38 68 10
14 21 22
85 87 1
15 94 16
6 83 16
44 52 10
9 68 16
6 7 3
39 40 15
24 56 6
19 59 30
72 84 9
27 28 21
2 53 8
26 33 9
44 71 12
26 72 12
64 77 1
57 74 2
9 88 8
30 71 11
29 80 7
51 52 27
17 38 13
36 59 30
81 89 30
31 49 25
24 52 3
24 27 27
17 99 29
64 96 21
14 76 17
40 98 9
33 45 1
5 84 23
44 83 18
78 98 2
43 77 26
14 60 3
20 98 26
18 74 9
22 47 4
1 4 8
30 73 18
36 94 15
15 70 30
50 53 29
24 91 6
23 57 21
3 68 29
3 76 18
17 70 25
6 39 19
3 12 14
25 46 25
25 39 17
26 44 12
51 53 18
51 57 4
56 59 2
20 32 23
2 19 25
61 87 18
9 65 15
24 58 21
35 75 14
30 74 28
12 95 16
36 46 9
86 96 23
20 53 17
59 81 20
59 67 1
1 7 4
20 70 5
4 40 29
16 81 7
31 69 8
37 72 10
94 97 9
87 92 3
41 79 23
44 55 8
72 78 7
50 95 10
47 60 21
79 82 11
12 64 26
24 32 14
3 71 9
4 59 14
16 88 7
61 95 11
47 95 7
17 64 7
27 33 7
7 52 20
54 93 29
45 67 17
0 91 22
55 67 1
51 63 21
50 84 17
34 79 11
9 66 9
67 70 17
27 42 18
50 54 13
5 86 13
72 76 3
5 73 16
14 72 27
35 92 5
5 32 15
18 37 2
46 53 23
16 27 28
4 31 23
40 60 12
62 85 28
32 87 26
37 59 24
32 70 1
64 72 21
72 75 24
61 94 25
46 54 6
4 50 21
57 97 11
46 96 14
41 67 15
70 88 18
47 93 25
3 48 20
31 99 20
5 88 12
15 44 5
9 12 19
5 23 16
10 17 7
55 76 29
52 74 26
39 51 21
87 96 26
23 54 28
22 94 3
1 12 26
4 8 19
19 76 4
23 33 25
42 64 5
27 70 12
4 12 1
50 94 21
44 50 4
59 97 21
62 95 16
81 83 15
47 64 5
11 30 3
9 89 13
55 72 12
10 98 13
85 97 9
20 73 19
28 93 29
65 98 15
28 90 25
27 55 17
75 96 9
31 77 12
15 91 5
75 99 4
56 61 24
1 10 5
8 91 20
5 15 27
73 95 9
2 14 29
2 66 5
77 79 28
6 78 24
24 71 29
28 52 15
60 90 11
37 90 6
15 54 22
17 29 23
1 71 6
47 96 2
21 52 15
37 67 4
11 35 20
49 98 30
27 88 25
39 55 21
59 83 26
65 87 18
49 57 15
60 62 24
0 9 18
65 85 26
3 11 24
5 61 19
22 98 11
5 81 18
43 79 30
52 58 27
26 47 13
52 56 25
80 87 9
52 57 28
14 57 6
95 99 26
66 88 16
26 88 2
23 67 13
43 94 21
13 65 17
0 18 6
27 99 6
40 57 17
37 85 12
21 94 23
20 65 7
58 80 10
20 49 22
3 80 4
47 71 14
3 5 2
2 32 8
40 42 3
68 94 7
1 55 28
27 48 24
3 21 29
61 91 30
26 95 19
42 97 27
58 63 19
59 98 6
81 84 19
31 84 23
53 96 21
10 80 8
12 97 16
43 90 13
47 68 28
10 73 6
24 54 30
16 73 27
34 95 16
88 94 8
2 18 8
34 71 16
76 99 16
25 72 29
49 72 24
26 39 7
27 82 18
5 8 9
68 73 12
61 68 4
50 91 10
71 96 7
13 34 12
74 94 24
15 16 28
17 34 25
24 86 23
20 58 17
2 21 9
40 87 5
14 62 24
21 55 6
63 72 15
45 99 12
63 64 14
31 80 22
6 68 15
0 78 25
55 70 25
28 83 18
25 41 8
16 28 13
11 81 18
34 52 2
14 26 1
37 98 26
42 46 22
53 81 15
36 63 26
19 54 27
21 87 28
62 87 17
3 45 21
6 30 4
33 67 12
56 78 5
4 46 5
53 57 11
48 82 1
64 98 29
7 30 16
64 68 1
30 67 9
16 42 24
31 96 29
62 92 11
16 93 7
28 58 23
17 67 18
32 57 17
31 75 12
8 24 10
15 80 27
25 66 6
58 83 27
14 98 13
34 44 5
40 56 15
6 81 15
17 22 27
71 99 12
1 27 27
11 12 4
7 91 22
8 28 9
44 51 27
3 59 30
48 75 17
33 77 15
15 64 2
53 84 5
10 66 2
28 44 25
39 66 4
32 97 3
3 36 29
28 51 7
17 27 26
4 79 30
64 89 30
23 51 7
28 88 13
44 69 7
30 68 8
2 7 7
72 83 13
70 98 30
28 30 1
2 83 18
61 99 12
35 63 25
6 82 2
9 21 22
7 86 18
39 76 9
54 92 27
60 78 19
15 23 15
20 22 6
27 38 11
38 99 22
47 90 20
57 99 9
38 59 16
29 63 26
59 61 16
33 69 14
62 66 27
3 32 9
87 90 25
10 29 14
22 35 26
40 81 28
70 81 1
25 79 13
36 53 4
2 73 6
46 48 14
31 86 14
21 59 14
11 36 30
1 14 9
1 84 8
21 67 4
6 98 2
36 52 19
39 52 18
24 77 17
41 50 10
19 78 5
17 41 29
46 63 27
6 80 15
66 68 29
24 25 23
3 39 30
17 31 18
22 55 9
55 77 6
65 79 5
52 71 4
55 75 25
55 97 12
18 55 9
24 35 5
48 98 13
10 82 3
9 59 5
56 76 26
57 67 22
41 90 11
11 18 11
21 34 27
45 50 29
49 87 21
29 52 10
4 78 15
69 96 21
56 75 7
14 18 21
38 39 23
22 80 21
36 62 18
16 22 20
17 19 8
12 63 21
14 90 11
5 77 9
71 82 22
0 87 8
9 24 24
49 56 5
46 62 8
12 50 19
62 86 26
24 90 23
19 72 10
26 37 9
6 22 8
14 19 24
22 31 30
15 25 25
8 94 6
32 33 23
16 60 24
43 53 22
25 30 6
11 77 3
42 47 20
31 93 24
29 51 2
42 68 5
38 92 25
71 83 16
22 29 25
81 96 28
31 45 6
16 63 21
70 96 25
30 41 1
15 24 22
39 79 16
45 46 12
70 84 26
49 53 30
94 96 6
18 82 2
69 97 17
41 83 1
31 87 27
28 29 26
69 80 16
67 99 14
28 91 14
15 78 4
28 35 17
23 26 6
38 65 20
46 68 27
15 46 7
7 18 23
13 50 28
39 56 9
7 61 24
4 44 25
15 38 26
21 58 26
85 93 3
63 98 26
43 47 18
1 35 11
4 80 24
60 75 20
60 97 24
29 57 25
37 75 19
4 22 17
34 93 29
74 90 5
9 60 10
4 74 7
5 29 12
78 93 14
17 71 15
72 89 23
50 85 14
2 39 10
30 32 1
23 46 28
7 37 26
1 66 15
10 75 30
69 78 3
40 50 25
17 39 23
27 32 29
2 52 19
47 81 21
36 93 26
42 70 8
35 83 13
0 56 25
2 84 13
39 97 27
53 72 8
32 49 26
19 49 15
59 88 17
7 22 11
70 75 15
70 86 27
77 85 8
80 93 13
2 67 23
0 74 3
16 72 21
94 95 23
21 68 10
10 50 15
55 66 10
28 34 10
2 56 25
60 96 12
56 77 4
62 71 20
34 86 10
32 68 23
22 69 29
90 99 26
0 25 28
4 86 16
49 89 18
79 83 17
10 51 24
13 52 2
54 83 6
40 72 29
2 43 5
24 97 21
49 78 15
57 70 6
19 87 30
52 81 5
21 53 26
40 54 23
60 82 8
21 23 15
75 81 9
28 38 12
0 79 5
39 92 2
34 58 23
36 44 14
19 29 29
4 13 16
18 40 14
68 98 15
12 69 12
12 31 14
26 62 3
1 97 16
11 14 30
18 31 22
8 33 1
12 91 28
24 34 24
1 61 2
33 53 27
48 96 11
70 89 18
21 36 30
57 91 18
12 26 17
15 17 1
39 81 15
36 76 14
51 78 29
24 88 10
47 56 4
73 98 23
13 99 29
19 69 25
76 90 7
12 29 16
68 95 15
50 92 4
54 99 29
14 47 15
5 85 15
56 57 27
14 53 11
16 61 21
88 89 13
1 5 6
92 97 15
69 74 28
40 45 2
47 69 3
63 96 10
66 81 18
69 76 10
5 63 15
83 89 7
43 62 7
14 29 27
46 64 5
12 41 12
26 68 25
20 29 6
26 77 1
57 63 17
10 60 9
29 47 5
38 62 23
53 92 27
72 93 2
13 86 24
49 95 21
32 86 25
39 99 6
46 78 20
67 83 12
5 38 26
3 44 6
35 51 1
0 43 11
61 70 28
8 15 25
50 58 30
7 35 4
7 57 14
0 89 22
18 77 30
2 81 18
68 69 13
26 46 21
46 56 11
31 81 24
23 40 10
52 95 10
20 48 20
23 69 22
10 20 25
46 52 8
85 86 26
36 51 28
84 85 11
17 32 3
22 92 28
38 93 6
58 86 22
66 77 12
60 86 20
42 87 23
16 17 7
71 81 1
13 47 11
60 69 11
42 76 13
15 69 21
12 65 15
71 94 24
24 75 7
43 82 14
4 95 2
54 55 19
35 70 21
23 80 25
15 53 13
43 55 2
19 30 4
14 41 30
30 91 20
2 37 16
25 76 12
7 79 21
68 97 12
39 74 8
7 69 23
22 85 21
38 49 3
9 51 8
2 5 12
29 94 10
3 78 30
75 79 28
28 75 15
81 95 12
16 51 22
1 63 8
2 48 6
6 38 27
25 38 21
67 68 13
28 87 21
8 63 11
33 34 14
21 78 5
6 71 14
38 56 16
30 39 20
6 57 22
14 74 8
2 47 10
58 81 22
46 49 12
51 61 13
6 64 26
30 59 16
39 88 5
15 68 19
73 75 4
66 84 7
45 73 25
12 55 28
52 66 15
42 78 8
3 79 21
37 92 20
15 37 13
10 19 10
25 84 21
63 90 6
55 64 30
35 89 10
10 32 10
3 38 15
64 86 15
87 93 27
78 85 18
35 84 18
35 87 7
24 70 27
10 68 13
40 46 13
24 53 7
52 78 21
20 33 12
72 94 9
18 35 17
38 80 14
83 98 27
62 70 3
1 73 10
90 97 8
57 98 21
16 45 18
10 53 23
40 68 28
23 86 2
20 44 26
21 63 16
2 12 29
29 98 27
49 96 19
5 69 27
54 79 4
51 60 16
2 77 6
20 89 15
15 31 3
33 96 28
10 13 30
3 51 10
46 83 6
36 47 13
50 72 14
33 76 11
3 81 21
14 36 13
11 86 12
31 76 27
55 71 19
72 73 28
33 73 29
15 40 6
29 46 5
7 66 4
15 33 8
19 67 28
83 85 8
31 67 11
62 72 10
37 45 8
50 78 9
40 86 4
18 27 13
70 72 17
78 86 15
41 80 17
0 50 27
41 82 30
21 80 26
16 31 23
79 98 4
18 86 10
11 75 6
49 75 4
50 79 1
6 65 4
54 77 17
16 76 12
72 91 9
38 47 30
1 74 5
6 42 29
11 85 24
10 48 5
27 92 15
61 88 8
37 43 20
19 93 6
24 67 24
8 41 15
63 97 4
18 72 25
1 22 6
3 49 20
13 15 21
32 91 17
12 74 18
36 41 4
0 52 21
72 80 11
65 66 13
6 69 7
0 21 5
60 98 16
7 12 5
69 89 24
48 51 12
57 62 3
19 28 9
39 91 6
70 85 24
15 55 22
2 89 12
69 73 27
11 72 16
25 48 21
76 77 13
86 94 2
29 61 6
32 62 19
97 99 19
16 55 20
0 59 4
93 97 18
42 77 5
1 60 30
62 81 14
37 51 30
37 46 15
67 97 7
12 30 27
61 74 12
39 90 1
37 76 3
72 77 17
4 96 5
41 60 5
65 70 9
44 80 10
13 94 11
7 93 30
60 73 7
16 71 3
25 37 23
15 48 18
56 83 6
33 48 24
11 93 17
76 78 15
25 68 4
14 95 11
22 32 5
6 43 13
13 16 1
4 19 16
20 95 27
48 80 18
39 59 14
10 96 22
21 45 14
9 39 13
53 58 19
68 96 5
20 28 19
7 34 1
58 68 3
32 41 22
25 51 20
30 46 25
39 70 4
31 47 17
43 95 23
20 63 29
26 61 28
51 90 25
9 62 24
20 77 14
21 41 9
23 92 17
42 51 5
8 31 19
66 86 6
36 48 13
34 49 22
36 78 22
42 56 28
5 44 9
2 99 24
44 86 1
28 92 18
4 91 17
9 45 11
16 40 15
39 64 18
42 91 9
6 79 16
85 91 10
32 90 22
41 42 14
45 88 23
82 83 12
21 75 21
17 54 2
55 99 21
10 83 25
14 34 1
20 86 15
17 52 3
44 87 4
7 63 11
23 76 15
32 80 18
41 68 21
37 78 9
7 31 16
19 25 25
24 62 26
42 43 17
26 36 19
32 58 2
66 74 13
38 54 7
40 64 25
65 68 12
32 75 2
55 84 24
0 82 19
49 62 5
87 99 16
16 89 24
11 38 1
57 92 14
22 38 22
0 32 18
0 88 21
45 57 15
21 84 27
11 44 6
5 18 5
11 98 11
17 68 13
24 78 28
2 49 15
10 28 13
72 86 29
73 76 22
31 44 14
19 62 19
35 43 28
71 86 12
23 48 24
38 63 9
32 55 13
7 64 4
5 39 14
42 44 12
8 32 11
22 60 2
52 68 15
23 65 25
6 44 7
69 79 8
68 77 11
49 85 15
50 89 22
8 48 24
51 64 16
22 44 9
6 28 7
31 40 29
14 59 21
18 21 14
11 70 10
29 95 3
58 87 9
49 97 16
70 95 22
29 75 30
19 68 3
50 73 13
6 35 8
13 77 20
63 84 9
25 93 4
60 85 16
38 58 22
49 94 24
5 91 18
19 63 27
2 96 1
0 26 29
50 61 12
88 95 27
24 47 13
39 46 9
37 83 3
40 41 22
42 71 11
11 95 3
5 49 23
31 43 28
22 79 6
23 85 7
33 93 16
80 83 1
3 65 7
24 43 7
37 87 2
72 79 4
1 32 28
32 99 26
46 51 27
9 14 2
49 63 2
27 30 2
17 30 14
7 20 6
5 30 13
32 56 7
14 43 28
9 13 17
3 26 18
38 46 26
38 98 12
20 87 5
73 89 11
78 84 5
7 90 8
74 97 9
2 88 16
16 95 24
71 80 13
54 84 17
57 96 1
1 99 22
19 56 30
72 90 30
44 66 12
29 89 21
12 49 7
32 40 11
20 56 3
17 69 27
33 91 7
0 81 10
36 58 13
65 90 5
11 60 1
20 46 12
7 99 26
4 9 24
0 41 1
82 88 30
38 45 24
38 70 18
3 54 14
18 84 19
35 79 5
68 79 12
25 57 26
50 83 23
31 88 7
45 62 3
37 62 5
84 91 18
9 98 16
4 48 8
77 89 25
51 55 26
57 95 3
77 80 28
56 73 13
54 90 6
7 68 21
50 93 14
14 45 5
35 48 12
43 78 24
40 88 20
2 85 2
16 41 20
63 88 17
47 88 9
3 25 22
7 82 18
4 83 2
3 37 5
17 36 5
73 74 28
0 42 12
42 98 25
83 84 5
25 85 4
43 65 18
74 79 2
12 59 17
33 40 12
1 16 10
58 97 25
27 63 21
15 82 3
2 35 27
18 85 8
25 63 13
35 94 20
0 31 27
33 72 10
23 53 25
36 79 23
66 67 26
39 45 27
16 58 25
1 38 12
8 98 29
74 78 14
18 78 19
21 49 30
19 51 16
9 55 12
40 79 17
1 96 13
4 52 10
67 93 7
76 79 8
16 44 30
64 88 26
23 74 18
10 86 8
56 68 30
4 55 17
11 65 15
30 76 4
21 32 19
31 71 4
53 70 6
19 27 12
7 29 21
1 13 2
43 54 13
39 94 6
23 98 15
42 95 17
9 16 28
14 82 16
9 77 10
62 68 25
50 98 4
22 52 12
26 34 4
3 67 23
21 57 24
37 58 4
54 70 14
60 94 29
1 83 2
24 36 11
38 78 9
22 54 21
29 99 5
7 95 16
18 92 7
75 98 4
81 93 6
23 49 24
0 39 18
86 90 5
28 98 28
40 70 7
32 48 18
53 54 8
71 88 15
35 39 1
78 94 24
11 29 16
92 99 11
14 39 1
18 29 17
50 68 27
8 80 15
0 27 18
44 88 9
13 83 3
36 90 9
1 80 12
45 48 30
5 50 24
25 87 2
66 71 2
9 34 24
32 95 24
46 47 25
72 87 27
51 65 5
29 35 28
16 37 21
12 20 28
21 29 11
1 47 9
44 61 27
41 75 23
33 43 1
69 83 14
2 30 8
17 98 14
43 59 27
49 54 23
51 87 28
31 97 11
6 89 16
48 86 29
2 3 5
82 84 2
22 30 1
24 41 20
59 71 3
3 42 21
9 33 22
64 95 18
6 94 24
21 86 14
58 67 24
4 14 28
18 44 26
26 64 29
35 93 26
59 77 8
41 44 19
79 88 19
25 54 18
8 88 4
21 38 29
57 82 30
5 59 27
23 95 15
46 84 14
6 70 15
54 56 25
8 74 13
28 31 9
30 87 30
67 96 2
69 75 2
11 45 1
21 93 24
69 86 23
13 71 6
46 80 25
81 98 25
7 65 13
14 84 27
69 77 10
45 92 3
20 94 22
13 24 23
51 81 14
51 75 19
4 56 2
81 94 13
51 70 7
17 87 2
6 63 17
23 68 22
38 44 12
84 98 27
51 66 22
23 28 2
21 33 6
54 58 8
8 49 15
20 39 18
29 93 27
30 63 29
7 28 24
35 71 13
19 20 9
71 84 7
12 18 8
82 85 2
30 90 15
53 85 19
43 85 3
24 96 27
66 73 28
26 32 22
54 80 23
46 75 14
80 88 16
26 30 11
36 99 21
18 58 15
4 49 25
29 34 18
47 53 2
11 74 23
2 59 29
16 79 7
17 83 1
